Name, BaseDamage, BaseDamageType, AreaDamageType, DetDamageType, ShieldDamageType, LargeGridModifier, SmallGridModifier, ArmorModifier, LightArmorModifier, HeavyArmorModifier, NonArmorModifier, ShieldsModifier, ShieldBypass, FragmentName, FragmentQuanty, FragmentDegrees, BBHRadius, BBHDamage, BBHDepth, BBHMaxAbsorb, BBHFalloff, EOLRadius, EOLDamage, EOLDepth, EOLMaxAbsorb, EOLFalloff, AccelPerSec, MaxSpeed, MaxTrajectory, MaxLifeTime
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_Gladius_Ammo, 275, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 3000, 0
MA_Laser_T3_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Meatball_Ammo, 800, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Meatball_Ammo, 800, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Meatball_Ammo, 800, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Blister_Ammo, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Blister_Ammo, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Blister_Ammo, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Blister_Ammo, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Blister_Ammo, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Blister_Ammo, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Blister_Ammo, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 2000, 240
MA_Slinger_Ammo, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 1, Pooled, 0, 1100, 3000, 300
MA_Slinger_Ammo, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 1, Pooled, 0, 1100, 3000, 300
MA_Slinger_Ammo, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 1, Pooled, 0, 1100, 3000, 300
MA_Slinger_Ammo, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 1, Pooled, 0, 1100, 3000, 300
MA_Slinger_Ammo, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 1, Pooled, 0, 1100, 3000, 300
MA_Tiger_Ammo, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 1, Pooled, 0, 1100, 3000, 300
MA_Tiger_Ammo, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 1, Pooled, 0, 1100, 3000, 300
MA_Tiger_Ammo, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 1, Pooled, 0, 1100, 3000, 300
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T3_Ammo, 275, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 3000, 0
MA_Laser_T3_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T3_Ammo, 275, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 3000, 0
MA_Laser_T3_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T4_Ammo, 110, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T4_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Missile, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1, -1, MA_Missile_Stage2, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0, Linear, 0, 350, 5000, 10
MA_Missile_Stage2, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 2, -1, None, 0, 0, 4, 6000, 3, 1000, Pooled, 0, 0, 0, 0, NoFallOff, 2000, 600, 5500, 600
MA_Missile, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1, -1, MA_Missile_Stage2, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0, Linear, 0, 350, 5000, 10
MA_Missile_Stage2, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 2, -1, None, 0, 0, 4, 6000, 3, 1000, Pooled, 0, 0, 0, 0, NoFallOff, 2000, 600, 5500, 600
Asterius Gauss, 7000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 1.5, -1, -1, -1, 3.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 0, Pooled, 0, 2000, 5000, 0
Charon_Shot, 11250, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 2, -1, -1, -1, 5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 6, 60000, 2, 2500, Pooled, 0, 2500, 3250, 0
Charon_Shot_Bounce, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 4, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 2500, 550, 0
Charon_Fake_Shot, 0.4, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 4, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 0.4, 0, 0, Pooled, 0, 2500, 3250, 0
HVSC, 10, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1, -1, HVSC Terminal, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 1200, 1500, 15000, 50
HVSC Terminal, 10, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1, -1, HVSC Shrapnel, 1, 0, 0, 0, 0, 0, NoFallOff, 8, 60000, 1, 2500, Pooled, 1200, 1800, 15000, 1200
HVSC Shrapnel, 100000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 4, 5, 10, -1, None, 0, 0, 3, 5000, 1, 5000, Pooled, 0, 0, 0, 0, NoFallOff, 0, 5000, 1000, 12
Sensor Fused, 10, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1, -1, SF Terminal, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 1200, 1500, 15000, 50
SF Terminal, 10, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1, -1, SF Bomblet, 1, 20, 0, 0, 0, 0, NoFallOff, 8, 60000, 1, 2500, Pooled, 1200, 1500, 15000, 1200
SF Bomblet, 100, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, 1, -1, -1, SF Fragment, 1, 0, 0, 0, 0, 0, NoFallOff, 5, 100, 1, 2500, Pooled, 500, 500, 10000, 3600
SF Fragment, 10000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 4, 5, 5, -1, None, 0, 0, 3, 5000, 1, 5000, Pooled, 0, 0, 0, 0, NoFallOff, 0, 8000, 300, 12
Hellfire Laser, 1500, Energy, Energy, Energy, Energy, -1, -1, -1, 0.4, -1, 1.5, 8, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 2500, 1, 500, Pooled, 0, 15000, 10000, 0
Hellfire Pulse, 1500, Energy, Energy, Energy, Energy, -1, -1, -1, 0.4, -1, 1.5, 8, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 2500, 1, 500, Pooled, 0, 15000, 10000, 0
LP Hellfire, 1000, Energy, Energy, Energy, Energy, -1, -1, -1, 0.4, -1, 1.5, 8, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 15000, 10000, 0
Somnus Gauss, 62500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 2.5, -1, -1, 1.5, 8, 0.5, Somnus Gauss Frag, 4, 65, 0, 0, 0, 0, NoFallOff, 1.5, 6500, 1.5, 0, Pooled, 0, 5000, 7500, 0
Somnus Gauss Frag, 15625, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 2.5, -1, -1, 1.5, 15, 0.5, None, 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 0, Pooled, 0, 500, 50, 0
