Name, MaxDist, MinDist, DevShotAngle, AimTolerance, AimLeadingPrediction, RotateRate, ElevateRate, IdlePower, RateOfFire, ReloadTime, HeatPerShot, MaxHeat, HeatSinkRate, ShotsInBurst, DelayAfterBurst, AmmoName
FEM-300 Heavy Repeater (Iron Maiden), 0, 0, 0.2, 2, Accurate, 0.04, 0.02, 12, 400, 20, 1, 70000, 9, 0, 0,    Priest_Ammo
[Trident] Torpedo Turret, 5000, 0, 0, 180, Off, 0.01, 0.01, 50, 480, 1800, 1, 70000, 9000000, 6, 30,    Torp_Ammo   TorpShrap_Ammo
F-2 Rotary Rifle, 2250, 50, 0.4, 24, Accurate, 0.06, 0.06, 12, 400, 20, 1, 70000, 9, 0, 0,    Priest_Ammo
Type 18 Heavy Turret, 0, 0, 0.3, 1, Accurate, 0.009, 0.005, 2, 24, 300, 1, 70000, 9000000, 1, 0,    Type18 HE Round
Type 21 Heavy Turret, 0, 0, 0.4, 1, Accurate, 0.005, 0.003, 4, 120, 450, 1, 70000, 9000000, 1, 30,    Type21 HE Round
Type 24 Heavy Turret, 0, 0, 0.5, 1, Accurate, 0.003, 0.0015, 6, 120, 580, 1, 70000, 9000000, 1, 30,    Type24 HE Round
Type 78 Railgun Turret, 0, 0, 0.08, 1, Accurate, 0.005, 0.003, 7.5, 30, 430, 1, 70000, 9000000, 0, 0,    Type78 Round
Type 77 Railgun Turret, 0, 0, 0.05, 0.100000001490116, Accurate, 0.009, 0.005, 5, 24, 280, 1, 70000, 9000000, 0, 0,    Type77 Round
Type 79 Railgun Turret, 0, 0, 0.1, 0.100000001490116, Accurate, 0.003, 0.0015, 10, 24, 520, 1, 70000, 9000000, 0, 0,    Type79 Round
Reaver Coilgun, 0, 0, 0.1, 5, Accurate, 0.02, 0.02, 5, 150, 60, 1, 70000, 9000000, 0, 0,    Reaver Ammo
T1PDX, 0, 0, 0, 3, Off, 0.04, 0.04, 0.0005, 3600, 60, 1, 3600, 60, 0, 0,    MA_Laser_1
T1PDX, 0, 0, 0, 3, Off, 0.04, 0.04, 0.0005, 3600, 60, 1, 3600, 60, 0, 0,    MA_Laser_1
T2PDX, 4500, 0, 0, 2, Off, 0.015, 0.015, 5, 3600, 60, 1, 3600, 60, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
T2PDX, 4500, 0, 0, 2, Off, 0.015, 0.015, 5, 3600, 60, 1, 3600, 60, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
T2PDX, 4500, 0, 0, 2, Off, 0.015, 0.015, 5, 3600, 60, 1, 3600, 60, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Gimbal Laser, 0, 0, 0, 0, Off, 0.08, 0.05, 0.0005, 3600, 90, 1, 1200, 50, 0, 0,    MA_Laser_1
Gimbal Laser, 0, 0, 0, 0, Off, 0.08, 0.05, 0.0005, 3600, 90, 1, 1200, 50, 0, 0,    MA_Laser_1
Gimbal Laser, 0, 0, 0, 0, Off, 0.08, 0.05, 0.0005, 3600, 90, 1, 1200, 50, 0, 0,    MA_Laser_1
Gimbal Laser, 0, 0, 0, 0, Off, 0.08, 0.05, 0.0005, 3600, 90, 1, 1200, 50, 0, 0,    MA_Laser_1
Gimbal Laser, 0, 0, 0, 0, Off, 0.08, 0.05, 0.0005, 3600, 90, 1, 1200, 50, 0, 0,    MA_Laser_1
Gimbal Laser T2, 4500, 0, 0, 2, Off, 0.08, 0.05, 5, 3600, 90, 1, 400, 30, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Gimbal Laser T2, 4500, 0, 0, 2, Off, 0.08, 0.05, 5, 3600, 90, 1, 400, 30, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Gimbal Laser T2, 4500, 0, 0, 2, Off, 0.08, 0.05, 5, 3600, 90, 1, 400, 30, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Gimbal Laser T2, 4500, 0, 0, 2, Off, 0.08, 0.05, 5, 3600, 90, 1, 400, 30, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Gimbal Laser T2, 4500, 0, 0, 2, Off, 0.08, 0.05, 5, 3600, 90, 1, 400, 30, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Gladius Laser, 4000, 0, 0, 0.100000001490116, Off, 0.008, 0.008, 25, 3600, 60, 1, 3600, 60, 480, 0,    MA_Laser_Gladius_Ammo   MA_Laser_T3_Ammo_Decal
Meatball, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Meatball_Ammo
Meatball Left Side, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Meatball_Ammo
Meatball Right Side, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Meatball_Ammo
Blister Turret, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Blister_Ammo
Blister Turret, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Blister_Ammo
Blister Turret, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Blister_Ammo
Blister Turret, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Blister_Ammo
Blister Turret, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Blister_Ammo
Blister Turret, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Blister_Ammo
Blister Turret, 1250, 0, 1.8, 0.300000011920929, Advanced, 0.03, 0.03, 0.0005, 720, 120, 10, 1000, 40, 0, 0,    MA_Blister_Ammo
Slinger AC150mm, 3500, 0, 0.1, 1, Accurate, 0.015, 0.015, 1, 60, 0, 1, 400, 10, 0, 0,    MA_Slinger_Ammo
Slinger AC150mm, 3500, 0, 0.1, 1, Accurate, 0.015, 0.015, 1, 60, 0, 1, 400, 10, 0, 0,    MA_Slinger_Ammo
Slinger AC150mm, 3500, 0, 0.1, 1, Accurate, 0.015, 0.015, 1, 60, 0, 1, 400, 10, 0, 0,    MA_Slinger_Ammo
Slinger AC150mm, 3500, 0, 0.1, 1, Accurate, 0.015, 0.015, 1, 60, 0, 1, 400, 10, 0, 0,    MA_Slinger_Ammo
Slinger AC150mm, 3500, 0, 0.1, 1, Accurate, 0.015, 0.015, 1, 60, 0, 1, 400, 10, 0, 0,    MA_Slinger_Ammo
Tiger 150mm, 3500, 0, 1.2, 4, Accurate, 0.1, 0.1, 1, 800, 340, 14, 300, 18, 4, 25,    MA_Tiger_Ammo
Tiger 150mm, 3500, 0, 1.2, 4, Accurate, 0.1, 0.1, 1, 800, 340, 14, 300, 18, 4, 25,    MA_Tiger_Ammo
Crouching Tiger 150mm, 3500, 0, 1.2, 4, Accurate, 0.04, 0.04, 2, 800, 340, 14, 300, 18, 4, 25,    MA_Tiger_Ammo
Fixed Laser T2, 0, 0, 0, 5, Off, 0.2, 0.2, 0.0005, 3600, 90, 1, 400, 50, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Fixed Laser T2, 0, 0, 0, 5, Off, 0.2, 0.2, 0.0005, 3600, 90, 1, 400, 50, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Fixed Laser T2, 0, 0, 0, 5, Off, 0.2, 0.2, 0.0005, 3600, 90, 1, 400, 50, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Fixed Laser T2, 0, 0, 0, 5, Off, 0.2, 0.2, 0.0005, 3600, 90, 1, 400, 50, 0, 0,    MA_Laser_T2_Ammo   MA_Laser_T2_Ammo_Decal
Fixed Laser T3 Diode, 4000, 10, 0, 9, Off, 0.2, 0.2, 0.5, 3600, 60, 1, 3600, 10, 0, 0,    MA_Laser_T3_Ammo   MA_Laser_T3_Ammo_Decal
Fixed Laser T3 Diode, 4000, 10, 0, 9, Off, 0.2, 0.2, 0.5, 3600, 60, 1, 3600, 10, 0, 0,    MA_Laser_T3_Ammo   MA_Laser_T3_Ammo_Decal
T4 Guardian, 4000, 0, 0, 5, Off, 0.01, 0.01, 10, 3600, 60, 1, 7200, 120, 240, 0,    MA_Laser_T4_Ammo   MA_Laser_T4_Ammo_Decal
Derecho Missile Storm, 4500, 0, 4, 180, Off, 0.02, 0.02, 0.005, 480, 900, 0, 400, 10, 0, 0,    MA_Missile   MA_Missile_Stage2
Derecho Missile Storm, 4500, 0, 4, 180, Off, 0.02, 0.02, 0.005, 480, 900, 0, 400, 10, 0, 0,    MA_Missile   MA_Missile_Stage2
Asterius, 0, 0, 0.075, 0.150000005960464, Accurate, 0.0065, 0.007, 1, 200, 30, 25, 100, 52, 0, 0,    Asterius Gauss
Charon, 2750, 0, 0.25, 5, Basic, 0.013, 0.0075, 1, 1040, 360, 1, 100000, 999, 0, 0,    Charon_Shot   Charon_Shot_Bounce   Charon_Fake_Shot
Grimlock, 0, 0, 0, 180, Off, 0.1, 0.1, 0.25, 600, 180, 60, 120, 1, 1, 10,    HVSC   HVSC Terminal   HVSC Shrapnel   Sensor Fused   SF Terminal   SF Bomblet   SF Fragment
Hellfire Laser, 0, 0, 0, 0, Off, 0, 0, 10, 3600, 0, 15, 3000, 300, 0, 0,    Hellfire Laser   Hellfire Pulse   LP Hellfire
Somnus, 0, 0, 0, 0, Accurate, 0, 0, 0.25, 15, 480, 1, 100, 10, 0, 0,    Somnus Gauss   Somnus Gauss Frag   SomnusFXshots   SomnusFXshots2   SomnusFXshots3   SomnusFXshots4
Cerberus (A), 0, 0, 0, 1, Accurate, 0.025, 0.02, 1, 175, 600, 5, 100, 20, 0, 0,    Cerberus Gauss   Cerberus_Shrap
Cerberus (B), 0, 0, 0.1, 1, Accurate, 0, 0.02, 1, 175, 600, 5, 100, 20, 0, 0,    Cerberus Gauss   Cerberus_Shrap
Cerberus (C), 0, 0, 0.1, 1, Accurate, 0, 0.02, 1, 175, 600, 5, 100, 20, 0, 0,    Cerberus Gauss   Cerberus_Shrap
Ceis, 3500, 0, 0.25, 1, Advanced, 0.02, 0.02, 0.25, 480, 240, 40, 2000, 200, 0, 0,    Ceis Gauss   Carnifex
Silvius, 0, 0, 0, 0.00999999977648258, Accurate, 0.03, 0.05, 0.25, 175, 600, 1, 200, 75, 0, 0,    Silvius Gauss   GaussER_Shrap
Erebos, 0, 0, 0.5, 30, Accurate, 0.07, 0.08, 0.25, 90, 4, 1, 100, 120, 0, 0,    Erebos Ammo   Erebos Ammo AOE
12-GA, 0, 0, 0.25, 1, Accurate, 0.1, 0.1, 0.25, 600, 30, 12150, 48600, 1800, 1, 60,    BFG
Magnetic Monopole Compression Cannon, 0, 0, 0.15, 1, Accurate, 0, 0, 0.25, 240, 0, 60, 600, 120, 0, 0,    Autocoil_Ammo_A   AutoCoil_Shrap   AutoCoil_VFX1   AutoCoil_VFX2   AutoCoil_VFX3
Magnetic Monopole Compression Cannon, 0, 0, 0.15, 1, Accurate, 0, 0, 0.25, 240, 0, 60, 600, 120, 0, 0,    Autocoil_Ammo_A   AutoCoil_Shrap   AutoCoil_VFX1   AutoCoil_VFX2   AutoCoil_VFX3
Taiidan Fighter Small Bay, 10000, 0, 0.2, 180, Off, 0, 0, 1, 30, 360, 100, 200, 0, 0, 0,    Taiidani Interceptor   Taiidan Interceptor Attack   Taiidan Interceptor Missile Attack   taiidandebrisP   taiidandebris1   taiidandebris2   taiidandebris3   taiidandebris4
Taiidan Fighter Launch Rail, 10000, 0, 0.2, 180, Off, 0, 0, 1, 30, 1, 100, 4000, 12, 0, 0,    Taiidani Interceptor   Taiidan Interceptor Attack   Taiidan Interceptor Missile Attack   taiidandebrisP   taiidandebris1   taiidandebris2   taiidandebris3   taiidandebris4
Taiidan Bomber Launch Rail, 10000, 0, 0.2, 180, Off, 0, 0, 1, 30, 1, 100, 4000, 0, 0, 0,    Taiidani Bomber   Taiidan Bomber Attack   taiidandebrisP   taiidandebris1   taiidandebris2   taiidandebris3   taiidandebris4
Taiidan Fighter Hangar Bay, 10000, 0, 0.2, 180, Off, 0, 0, 1, 30, 360, 100, 8000, 12, 0, 0,    Taiidani Interceptor   Taiidan Interceptor Attack   Taiidan Interceptor Missile Attack   taiidandebrisP   taiidandebris1   taiidandebris2   taiidandebris3   taiidandebris4
Taiidan Bomber Hangar Bay, 10000, 0, 0.2, 180, Off, 0, 0, 1, 30, 360, 100, 8000, 0, 0, 0,    Taiidani Bomber   Taiidan Bomber Attack   taiidandebrisP   taiidandebris1   taiidandebris2   taiidandebris3   taiidandebris4
Taiidan Bomber Hangar Bay Medium, 10000, 0, 0.2, 180, Off, 0, 0, 1, 30, 360, 100, 4000, 0, 0, 0,    Taiidani Bomber   Taiidan Bomber Attack   taiidandebrisP   taiidandebris1   taiidandebris2   taiidandebris3   taiidandebris4
Taiidan Bomber Hangar Bay, 5000, 0, 0.2, 180, Off, 0, 0, 1, 30, 360, 0, 8000, 0, 0, 0,    Taiidani Bomber   Taiidan Bomber Attack   taiidandebrisP   taiidandebris1   taiidandebris2   taiidandebris3   taiidandebris4
Taiidan Fighter Hangar Bay, 5000, 0, 0.2, 180, Off, 0, 0, 1, 30, 360, 0, 8000, 12, 0, 0,    Taiidani Interceptor   Taiidan Interceptor Attack   Taiidan Interceptor Missile Attack   taiidandebrisP   taiidandebris1   taiidandebris2   taiidandebris3   taiidandebris4
banshee, 10000, 500, 0, 180, Off, 0, 0, 10, 120, 1800, 0, 70000, 9000000, 0, 0,    banshee shot main   banshee shot Acceleration   banshee plasma shot Acceleration
longsword, 10000, 1000, 0, 180, Off, 0, 0, 10, 120, 3600, 1000, 1000, 0, 0, 0,    longsword shot main   longsword napalm base   longsword napalm timespawn   longsword napalm frag   Longsword Nuke Acceleration   Longsword Nuke Terminal   Longsword Nuke Frag
Artificial Sun Launcher, 0, 0, 0, 180, Off, 0.1, 0.1, 0.25, 1, 7200, 7200, 7200, 60, 0, 0,    SubterraneanSun   SubterraneanSunStage2   SubterraneanSunStage2SuccParticleInvis   SubterraneanSunStage2SuccParticleVisible   SubterraneanSunStage2EWARTimespawn   SubterraneanSunStage2EWARPattern
Arrow-IV, 0, 0, 0, 180, Off, 0, 0, 0.25, 100, 300, 1, 10, 0, 0, 0,    Davy Crockett   Davy Crockett Acceleration   Davy Crockett Terminal   Davy Crockett Frag   Davy_Flare   Davy Crockett Smart   Davy Crockett Acceleration Smart   OPA Heavy Torp LockTone   OPA Heavy Torp LockTone Terminal
Painless, 0, 0, 0.15, 20, Advanced, 0.05, 0.06, 0.02, 1150, 60, 26, 6000, 130, 0, 0,    Bullet_AMS   Bullet_AMS_AOE   Bullet_AMS_AOE_2
Bainless II AMS, 0, 0, 0.25, 1, Accurate, 0.05, 0.063, 0.02, 1150, 120, 26, 6000, 130, 0, 0,    Ball Bullet AMS   Ball_Turret_Frag
Fixed Coil Cannon, 0, 0, 0.1, 0, Accurate, 0, 0, 0.25, 60, 480, 1, 70000, 9000000, 0, 0,    Heavy Gauss Slug   Starcore_HeavyGauss_Shrap   HG_VFX1   HG_VFX2   HG_VFX3
MCRN Torpedo, 20000, 0, 0, 180, Off, 0, 0, 0.25, 100, 420, 10, 85, 85, 0, 0,    MCRN Heavy Torp Launch   MCRN Heavy Torp Acceleration   MCRN Heavy Torp Terminal   MCRN Heavy Torp Frag
UNN Light Torpedo, 12000, 0, 0, 180, Off, 0, 0, 0.25, 100, 420, 10, 85, 85, 0, 0,    UNN Light Torp Launch   UNN Light Torp Acceleration   UNN Light Torp Terminal   UNN Light Torp Frag
UNN Heavy Torpedo, 12000, 0, 0, 180, Off, 0, 0, 0.25, 100, 420, 10, 85, 85, 0, 0,    UNN Heavy Torp Launch   UNN Heavy Torp Acceleration   UNN Heavy Torp Terminal   UNN Heavy Torp Frag
LRM-5, 10000, 1500, 0, 180, Off, 0.1, 0.1, 0.25, 192, 3600, 0, 10, 0, 0, 0,    LRM   Mod_LRM_Terminal   Mod_LRM_Fragment_Detonation
LRM-5, 10000, 1500, 0, 180, Off, 0.1, 0.1, 0.25, 192, 3600, 0, 10, 0, 0, 0,    LRM   Mod_LRM_Terminal   Mod_LRM_Fragment_Detonation
LRM-5, 10000, 1500, 0, 180, Off, 0.1, 0.1, 0.25, 192, 3600, 0, 10, 0, 0, 0,    LRM   Mod_LRM_Terminal   Mod_LRM_Fragment_Detonation
LRM-5, 10000, 1500, 0, 180, Off, 0.1, 0.1, 0.25, 192, 3600, 0, 10, 0, 0, 0,    LRM   Mod_LRM_Terminal   Mod_LRM_Fragment_Detonation
MRM, 7000, 500, 0.15, 180, Off, 0.1, 0.1, 0.25, 900, 3600, 0, 11, 0, 0, 0,    MRM   MRM_2ndStage
MRM, 7000, 500, 0.15, 180, Off, 0.1, 0.1, 0.25, 900, 3600, 0, 11, 0, 0, 0,    MRM   MRM_2ndStage
MRM, 7000, 500, 0.15, 180, Off, 0.1, 0.1, 0.25, 900, 3600, 0, 11, 0, 0, 0,    MRM   MRM_2ndStage
MRM, 7000, 500, 0.15, 180, Off, 0.1, 0.1, 0.25, 900, 3600, 0, 11, 0, 0, 0,    MRM   MRM_2ndStage
SSRM-8, 3500, 200, 0.15, 180, Off, 0.1, 0.1, 0.25, 3600, 3600, 0, 8000, 0, 1, 0,    SSRM   SRM_Acceleration   SRM_Detonation
ER PPC, 8000, 0, 0.05, 0, Accurate, 0.1, 0.1, 100, 100, 480, 30, 50, 5, 1, 0,    ERPPC Main   ERPPC_EWAR   ERPPCFXshots   ERPPCFXshots2   ERPPCFXshots3   ERPPCFXshots4
RWR Scanner, 4000, 0, 0, 90, Accurate, 1, 1, 0.25, 480, 1, 0, 70000, 0, 0, 0,    RWR_P_Fake
RWR Asteroid Scanner, 4000, 0, 0, 90, Accurate, 1, 1, 0.25, 480, 1, 0, 70000, 0, 0, 0,    RWR_P_Fake
Sauron Radome, 50000, 0, 0, 0, Off, 0, 0, 0, 0, 0, 0, 70000, 9000, 0, 0,    Radiowave
Flares, 5000, 0, 15, 180, Off, 1, 1, 0.25, 606, 120, 1, 8, 1, 1, 0,    Flare   FlarePulse   FlareCandy
20mm 'Heimdall' Point-Defense Cannon, 2500, 100, 0.3, 70, Accurate, 0.035, 0.04, 12, 2300, 300, 1, 510, 510, 120, 1,    20mm High Velocity   PDC_Bullet_AOE
20mm 'Heimdall' Point-Defense Cannon, 2500, 100, 0.3, 70, Accurate, 0.035, 0.04, 12, 2300, 300, 1, 510, 510, 120, 1,    20mm High Velocity   PDC_Bullet_AOE
20mm 'Heimdall' Point-Defense Cannon, 2500, 100, 0.3, 70, Accurate, 0.035, 0.04, 12, 2300, 300, 1, 510, 510, 120, 1,    20mm High Velocity   PDC_Bullet_AOE
20mm 'Heimdall' Point-Defense Cannon, 2500, 100, 0.3, 70, Accurate, 0.035, 0.04, 12, 2300, 300, 1, 510, 510, 120, 1,    20mm High Velocity   PDC_Bullet_AOE
20mm 'Heimdall' Point-Defense Cannon, 2500, 100, 0.3, 70, Accurate, 0.035, 0.04, 12, 2300, 300, 1, 510, 510, 120, 1,    20mm High Velocity   PDC_Bullet_AOE
Defense Cannon, 3500, 0, 0.18, 2, Advanced, 0.03, 0.03, 12, 140, 480, 1, 1000, 30, 4, 45,    40mm APHE Shell
Aesir Autocannon, 5000, 0, 0.05, 5, Accurate, 0.008, 0.008, 0.06, 240, 600, 1, 1000, 30, 4, 60,    80mm APHE Shell
Laser Gatling, 3500, 0, 0.1, 8, Accurate, 0.01, 0.01, 0.15, 400, 660, 0, 100, 1, 10, 3,    TurretedPulseLaser
Light Railgun, 4500, 0, 0.05, 2, Advanced, 0.01, 0.01, 60, 60, 900, 50, 375, 25, 1, 60,    Light_Railgun_Slug   Small_Railgun_Ammo_VFX1   Small_Railgun_Ammo_VFX2
Heavy Railgun, 6000, 0, 0, 15, Accurate, 0.005, 0.007, 0.55, 240, 600, 1500, 3750, 1500, 0, 0,    Odin_Railgun_Slug   Odin_Railgun_VFX1   Odin_Railgun_VFX2   Odin_Railgun_Frag
'Gungir' Heavy Gun Turret, 6000, 0, 0, 3, Basic, 0.001, 0.001, 0.15, 60, 720, 0, 5000, 50, 0, 0,    27-Inch HE   HE_Fragment   Distractor Shell   Thump_Flare_Travel   Thump_Flare
CoilCannon, 6800, 0, 0.1, 0.100000001490116, Advanced, 0.0018, 0.0018, 1, 60, 810, 0, 20000, 200000, 0, 480,    CoilGunAmmo   CoilGunAmmo_VFX1   CoilGunAmmo_VFX2   CoilGunAmmo_VFX3
Plasma, 0, 0, 0, 4, Basic, 0.005, 0.01, 0.25, 3600, 240, 1, 70000, 9000000, 0, 0,    Plasma_Beam
Hurricane Naval Gun, 5000, 0, 0.4, 2, Accurate, 0.008, 0.007, 0.05, 120, 300, 1, 700, 700, 1, 30,    Hurricane APCBC   H_APHE_Fragment
Mk3 Battleship Cannon, 7000, 0, 0.15, 1, Advanced, 0.0023, 0.0023, 0.05, 120, 780, 0, 20000, 200000, 0, 0,    High-Explosive Shell BC7   BC7_HE_Fragment   High-Velocity AP BC7
Mk3 Battleship Cannon, 7000, 0, 0.15, 1, Advanced, 0.0023, 0.0023, 0.05, 120, 780, 0, 20000, 200000, 0, 0,    High-Explosive Shell BC7   BC7_HE_Fragment   High-Velocity AP BC7
Mk2 Battleship Cannon, 6000, 0, 0.15, 5, Accurate, 0.018, 0.018, 0.05, 120, 540, 1, 700, 700, 0, 0,    High-Explosive Shell BC5   BC5_HE_Fragment   High Velocity AP BC5
Mk2 Battleship Cannon, 6000, 0, 0.15, 5, Accurate, 0.018, 0.018, 0.05, 120, 540, 1, 700, 700, 0, 0,    High-Explosive Shell BC5   BC5_HE_Fragment   High Velocity AP BC5
Mk1 Battleship Cannon, 5000, 0, 0.05, 15, Accurate, 0.018, 0.018, 0.05, 60, 270, 0, 20000, 200000, 0, 0,    High-Explosive Shell BC3   BC3_HE_Fragment   Armor-Penetrator Shell BC3
Mk1 Battleship Cannon, 5000, 0, 0.05, 15, Accurate, 0.018, 0.018, 0.05, 60, 270, 0, 20000, 200000, 0, 0,    High-Explosive Shell BC3   BC3_HE_Fragment   Armor-Penetrator Shell BC3
Horizon Torpedo, 10000, 0, 0, 180, Off, 0.1, 0.1, 0.025, 120, 1500, 300, 900, 25, 0, 1500,    Ammo 1   Mine_Static
'Loki' Utility Launcher, 6000, 300, 0, 1, Accurate, 0.1, 0.1, 0.25, 8, 1600, 1, 70000, 9000000, 0, 0,    Vortex Torpedo   Vortex_Effect_Frag
200mm 'Thors Wrath' Missile System, 8000, 1000, 0, 360, Off, 0.1, 0.1, 0.25, 16, 1800, 1, 70000, 9000000, 2, 30,    Thor_Launch   Thor_Travel   Thor_Travel_2   Thor_Terminal   Thor_Terminal_2
'Fenrir' Rotary, 3500, 0, 0.2, 1, Basic, 0, 0, 0.25, 500, 1, 37, 1575, 135, 3, 0,    80mm HE Shell   80mm AP Shell   Phantom_Primary   Phantom_Secondary   Fragment_Primary   Fragment_Secondary
'Fang' Rotary, 3500, 0, 0.25, 1, Basic, 0, 0, 0.25, 1800, 300, 1, 100, 100, 6, 18,    60mm HE Shell   60mm AP Shell   Phantom_Primary   Phantom_Secondary
Laser Gatling Fixed, 3500, 0, 0.075, 8, Accurate, 0, 0, 45, 400, 1, 60, 1260, 180, 0, 0,    Pulse Laser   Shield H. Pulse Laser
'Brandr' Gatling, 3500, 0, 0.05, 8, Accurate, 0, 0, 45, 250, 1, 35, 730, 85, 0, 0,    Light Pulse Laser
